trip_date,trip_hour,trip_weekday,total_trips,active_taxis,total_revenue,total_fare,total_tips,total_tolls,total_extras,total_trip_seconds,total_trip_miles
2025-12-03,0,2,277,220,10700.83,8887.39,915.94,8.50,808.50,246995,2143.62
2025-12-03,1,2,106,88,3436.37,2645.97,309.15,0.00,464.75,97390,845.68
2025-12-03,2,2,63,47,1764.30,1545.25,96.80,0.00,116.25,49953,435.97
2025-12-03,3,2,52,39,1632.47,1475.16,77.31,0.00,72.00,47805,401.6
2025-12-03,4,2,89,73,3967.53,3540.53,286.50,0.00,121.50,96812,939.57
2025-12-03,5,2,182,148,6712.13,5842.15,646.29,2.01,166.68,201787,1690.64
2025-12-03,6,2,520,346,13455.85,11569.77,1054.58,0.00,647.00,550665,3315.31
2025-12-03,7,2,1073,577,24427.97,21159.10,2147.36,3.51,725.50,1209858,5364.38
2025-12-03,8,2,1487,785,32406.15,27741.51,3126.59,16.15,978.90,1688678,6682.41
2025-12-03,9,2,1645,940,36100.39,29909.51,3656.18,18.20,1971.00,1665047,7539.4
2025-12-03,10,2,1370,935,35258.59,28585.95,3596.51,53.90,2661.73,1396057,7865.2
2025-12-03,11,2,1437,969,36488.63,30024.43,3709.95,23.80,2340.45,1399199,7903.5
2025-12-03,12,2,1731,1068,43315.91,36167.83,4216.73,29.50,2371.85,1781015,9568.62
2025-12-03,13,2,1636,1062,41242.47,34270.42,4121.04,31.46,2346.55,1807216,9078.95
2025-12-03,14,2,1665,1051,43322.59,35848.51,4428.10,19.91,2517.07,2064129,9220.1
2025-12-03,15,2,1854,1165,55539.60,45759.54,5522.65,34.95,3655.96,2887176,11352.2
2025-12-03,16,2,1667,1037,47904.02,39119.96,5135.22,41.00,3097.34,2674967,9280.86
2025-12-03,17,2,1692,1077,56108.24,45577.28,5957.43,56.65,3935.93,2680054,9173.37
2025-12-03,18,2,1627,1004,42645.64,33768.74,4641.04,42.75,3641.61,2114585,8030.42
2025-12-03,19,2,1376,906,34603.69,27519.73,3701.20,24.25,2896.51,1492769,7362.69
2025-12-03,20,2,1200,782,32396.45,25482.10,3510.14,33.46,2928.30,1186816,7463.42
2025-12-03,21,2,1007,668,28819.61,22980.35,3093.30,17.76,2378.20,954283,6675.2
2025-12-03,22,2,910,615,31082.30,24413.21,3398.79,32.00,2929.30,867713,6778.65
2025-12-03,23,2,536,376,17997.77,13425.01,1833.29,48.75,2534.22,518086,4361.94
2025-12-04,0,3,340,246,10719.92,8559.53,1113.84,29.00,907.55,300322,2477.09
2025-12-04,1,3,112,88,3335.31,2505.82,345.24,9.00,453.25,90700,754.2
2025-12-04,2,3,57,48,1765.43,1550.23,88.30,4.00,114.40,43599,400.04
2025-12-04,3,3,60,47,2305.45,2024.37,157.58,0.00,109.00,60927,638.66
2025-12-04,4,3,97,76,3887.88,3502.33,235.05,2.00,129.00,91554,918.11
2025-12-04,5,3,258,209,9865.56,8247.52,894.21,9.00,628.83,277385,2294.16
2025-12-04,6,3,620,393,15587.88,13660.14,1307.49,11.00,392.75,625484,3611.12
2025-12-04,7,3,1071,607,26928.48,23448.34,2272.14,9.00,807.50,1242536,5945.28
2025-12-04,8,3,1340,766,33595.29,28749.18,3119.46,10.90,1242.75,1695906,7001.63
2025-12-04,9,3,1426,841,33740.77,28021.99,3225.78,42.40,1957.10,1450742,6620.64
2025-12-04,10,3,1302,859,30787.79,25445.44,3085.62,30.30,1885.93,1279083,6668.93
2025-12-04,11,3,1351,878,33075.20,27850.44,3164.44,26.75,1642.57,1284116,7097.68
2025-12-04,12,3,1571,955,35394.30,30085.72,3215.53,10.30,1584.25,1508739,7904.49
2025-12-04,13,3,1626,1023,39111.21,32858.73,3605.38,68.71,2121.89,1633642,8542.53
2025-12-04,14,3,1692,1053,39144.72,32602.72,3687.80,41.99,2313.26,1833769,8608.26
2025-12-04,15,3,1868,1118,45123.19,36947.66,4410.20,55.06,3124.77,2331370,9843.42
2025-12-04,16,3,1718,1027,41785.35,34731.33,4213.76,28.67,2234.09,2374850,8456.81
2025-12-04,17,3,1805,1138,46881.63,37792.10,5478.21,21.65,2951.17,2767636,9605.27
2025-12-04,18,3,1643,1008,37874.46,31153.22,3958.80,30.50,2119.94,1927666,7628.04
2025-12-04,19,3,1482,970,41526.14,33258.59,4472.21,75.95,3181.89,1671149,9005.87
2025-12-04,20,3,1302,844,35882.31,27788.94,4192.42,34.20,3382.75,1303881,8647.34
2025-12-04,21,3,1098,688,29448.15,23487.15,3372.11,25.81,2165.58,1058140,7047.22
2025-12-04,22,3,819,487,19747.59,16037.37,2026.27,8.70,1377.75,673364,4647.63
2025-12-04,23,3,605,402,17457.34,13827.67,1844.30,42.80,1525.57,553912,4237.16
2025-12-05,0,4,404,274,11575.17,8962.83,1187.63,1.00,1298.71,342902,2784.89
2025-12-05,1,4,182,120,4602.57,3642.48,493.59,3.75,404.75,137999,1008.95
2025-12-05,2,4,71,54,1725.11,1535.25,100.11,0.00,70.25,55271,441.43
2025-12-05,3,4,64,48,2224.28,1985.43,112.85,2.00,112.50,54362,582.87
