trip_date,payment_type,company,total_trips,total_revenue,total_tips,total_fare
2025-12-03,Cash,2733 - 74600 Benny Jona,1,8.00,0.00,8.00
2025-12-03,Cash,312 Medallion Management Corp,7,75.50,0.00,67.00
2025-12-03,Cash,3556 - 36214 RC Andrews Cab,1,34.25,0.00,34.25
2025-12-03,Cash,4053 - 40193 Adwar H. Nikola,2,16.25,0.00,10.75
2025-12-03,Cash,5 Star Taxi,187,3846.66,0.00,3413.00
2025-12-03,Cash,5167 - 71969 5167 Taxi Inc,3,197.75,0.00,147.75
2025-12-03,Cash,Blue Ribbon Taxi Association,198,3440.64,0.00,3201.64
2025-12-03,Cash,Chicago City Taxi Association,79,1000.00,0.00,962.00
2025-12-03,Cash,Chicago Independents,287,5732.95,0.00,5350.96
2025-12-03,Cash,Chicago Taxicab,8,106.75,0.00,91.75
2025-12-03,Cash,Choice Taxi Association Inc,123,1954.28,0.00,1793.78
2025-12-03,Cash,City Service,404,6820.77,0.00,6243.01
2025-12-03,Cash,Flash Cab,1605,44426.77,0.00,43751.63
2025-12-03,Cash,Globe Taxi,155,2560.75,0.00,2360.50
2025-12-03,Cash,Koam Taxi Association,13,112.00,0.00,106.00
2025-12-03,Cash,Medallion Leasin,140,1790.27,0.00,1593.52
2025-12-03,Cash,Patriot Taxi Dba Peace Taxi Associat,6,56.75,0.00,56.75
2025-12-03,Cash,Setare Inc,4,96.00,0.00,51.50
2025-12-03,Cash,Star North Taxi Management Llc,6,81.50,0.00,67.00
2025-12-03,Cash,Sun Taxi,449,7805.50,0.00,6663.00
2025-12-03,Cash,Tac - American United Dispatch,21,4130.25,0.00,4127.75
2025-12-03,Cash,Tac - Blue Diamond Dispatch,4,75.25,0.00,75.25
2025-12-03,Cash,Tac - Checker Cab Dispatch,28,342.78,0.00,342.78
2025-12-03,Cash,Tac - Yellow Cab Association,259,7201.34,0.00,7193.84
2025-12-03,Cash,Tac - Yellow Non Color,12,226.00,0.00,223.50
2025-12-03,Cash,Taxicab Insurance Agency  LLC,137,2346.50,0.00,2198.50
2025-12-03,Cash,Taxicab Insurance Agency Llc,530,9227.99,0.00,8077.17
2025-12-03,Cash,Top Cab,14,380.50,0.00,340.50
2025-12-03,Cash,Transit Administrative Center Inc,1005,17022.61,0.00,15313.35
2025-12-03,Cash,U Taxicab,12,105.50,0.00,85.00
2025-12-03,Cash,Wolley Taxi,29,349.00,0.00,322.00
2025-12-03,Credit Card,2733 - 74600 Benny Jona,3,143.95,24.20,78.75
2025-12-03,Credit Card,312 Medallion Management Corp,18,690.35,123.60,521.75
2025-12-03,Credit Card,4053 - 40193 Adwar H. Nikola,2,155.00,20.25,88.75
2025-12-03,Credit Card,4623 - 27290 Jay Kim,2,115.25,18.00,89.25
2025-12-03,Credit Card,5 Star Taxi,440,21293.50,3156.39,15762.50
2025-12-03,Credit Card,5167 - 71969 5167 Taxi Inc,1,6.90,0.90,6.00
2025-12-03,Credit Card,Blue Ribbon Taxi Association,258,8003.64,1207.02,5961.50
2025-12-03,Credit Card,Chicago City Taxi Association,90,2722.46,494.96,1963.75
2025-12-03,Credit Card,Chicago Independents,703,33395.46,5283.28,24430.22
2025-12-03,Credit Card,Chicago Taxicab,16,754.72,110.22,569.00
2025-12-03,Credit Card,Choice Taxi Association Inc,321,14204.71,1984.18,10595.04
2025-12-03,Credit Card,City Service,882,35596.82,5772.92,25191.75
2025-12-03,Credit Card,Flash Cab,831,29416.78,4709.09,21384.99
2025-12-03,Credit Card,Globe Taxi,314,13096.22,1928.77,9741.15
2025-12-03,Credit Card,Koam Taxi Association,15,368.21,68.71,275.50
2025-12-03,Credit Card,Medallion Leasin,150,5822.82,865.32,3871.00
2025-12-03,Credit Card,Patriot Taxi Dba Peace Taxi Associat,1,62.40,10.40,47.50
2025-12-03,Credit Card,Setare Inc,16,491.29,80.54,301.75
2025-12-03,Credit Card,Star North Taxi Management Llc,9,290.47,33.72,184.75
2025-12-03,Credit Card,Sun Taxi,1095,46028.70,7417.68,32180.95
2025-12-03,Credit Card,Tac - American United Dispatch,2,43.75,7.00,28.75
2025-12-03,Credit Card,Tac - Yellow Cab Association,2,96.35,20.85,63.50
2025-12-03,Credit Card,Taxicab Insurance Agency  LLC,136,3960.51,682.66,2897.10
2025-12-03,Credit Card,Taxicab Insurance Agency Llc,1402,64356.80,10077.32,46334.02
2025-12-03,Credit Card,Top Cab,22,917.86,131.36,618.50
2025-12-03,Credit Card,Transit Administrative Center Inc,1802,64033.66,9913.39,48475.90
2025-12-03,Credit Card,U Taxicab,16,302.86,53.36,211.50
2025-12-03,Credit Card,Wolley Taxi,60,2184.96,353.21,1555.75
2025-12-03,Dispute,Chicago Independents,2,145.88,0.00,145.88
2025-12-03,Dispute,Transit Administrative Center Inc,15,380.00,0.00,369.50
2025-12-03,Mobile,5 Star Taxi,491,8662.33,767.91,7398.92
2025-12-03,Mobile,Blue Ribbon Taxi Association,588,8620.23,658.43,7603.80
2025-12-03,Mobile,Chicago Independents,795,14182.57,1157.58,12439.49
2025-12-03,Mobile,Chicago Taxicab,6,198.26,28.46,153.30
2025-12-03,Mobile,Choice Taxi Association Inc,136,2530.85,193.22,2245.63
2025-12-03,Mobile,City Service,1231,21689.59,1743.63,19051.91
2025-12-03,Mobile,Flash Cab,1342,23291.83,1795.43,20526.95
2025-12-03,Mobile,Globe Taxi,362,6399.37,522.54,5585.33
2025-12-03,Mobile,Koam Taxi Association,13,290.93,17.47,262.96
2025-12-03,Mobile,Medallion Leasin,302,5049.76,499.83,4313.43
2025-12-03,Mobile,Patriot Taxi Dba Peace Taxi Associat,1,11.87,5.62,5.75
2025-12-03,Mobile,Setare Inc,1,67.50,11.25,45.25
2025-12-03,Mobile,Star North Taxi Management Llc,12,197.61,25.01,166.60
2025-12-03,Mobile,Sun Taxi,1171,22074.73,2060.11,19016.42
2025-12-03,Mobile,Tac - American United Dispatch,23,533.36,83.61,405.75
2025-12-03,Mobile,Tac - Blue Diamond Dispatch,12,240.79,32.49,202.30
2025-12-03,Mobile,Tac - Checker Cab Dispatch,53,777.15,125.76,624.89
2025-12-03,Mobile,Tac - Yellow Cab Association,520,16820.11,2175.38,14382.78
2025-12-03,Mobile,Tac - Yellow Non Color,3,79.32,12.48,65.34
2025-12-03,Mobile,Taxicab Insurance Agency Llc,1471,27013.40,2411.71,23397.19
2025-12-03,Mobile,Top Cab,15,344.68,18.33,313.85
2025-12-03,Mobile,Wolley Taxi,69,917.84,96.46,782.88
2025-12-03,No Charge,Taxicab Insurance Agency  LLC,1,3.25,0.00,3.25
2025-12-03,No Charge,Transit Administrative Center Inc,64,1203.75,0.00,994.75
2025-12-03,Prcard,5 Star Taxi,154,4099.62,23.62,4067.00
2025-12-03,Prcard,Blue Ribbon Taxi Association,66,1725.25,0.00,1713.25
2025-12-03,Prcard,Chicago Independents,63,1155.86,20.61,1133.25
2025-12-03,Prcard,Choice Taxi Association Inc,2,22.50,0.00,22.50
2025-12-03,Prcard,City Service,120,2945.63,13.88,2926.75
2025-12-03,Prcard,Flash Cab,989,23377.89,88.14,23219.25
2025-12-03,Prcard,Globe Taxi,27,654.81,7.31,647.50
2025-12-03,Prcard,Koam Taxi Association,4,65.50,0.00,65.50
2025-12-03,Prcard,Medallion Leasin,19,288.25,0.00,287.25
2025-12-03,Prcard,Setare Inc,1,45.50,0.00,4.50
2025-12-03,Prcard,Sun Taxi,90,1726.59,14.84,1707.75
2025-12-03,Prcard,Tac - Yellow Cab Association,1,28.25,0.00,28.25
2025-12-03,Prcard,Taxicab Insurance Agency Llc,92,1614.68,21.68,1591.00
2025-12-03,Prcard,Top Cab,4,75.50,0.00,75.50
2025-12-03,Prcard,Wolley Taxi,7,137.75,0.00,137.75
2025-12-03,Unknown,3556 - 36214 RC Andrews Cab,3,41.25,0.00,41.25
2025-12-03,Unknown,5167 - 71969 5167 Taxi Inc,5,47.75,0.00,47.75
2025-12-03,Unknown,Chicago City Taxi Association,1,12.25,0.00,12.25
2025-12-03,Unknown,Chicago Independents,1,14.25,0.00,14.25
2025-12-03,Unknown,Choice Taxi Association Inc,16,410.75,0.00,401.25
2025-12-03,Unknown,Taxicab Insurance Agency  LLC,5,114.25,0.00,114.25
2025-12-03,Unknown,Transit Administrative Center Inc,494,10857.50,0.00,10779.50
2025-12-03,Unknown,U Taxicab,1,13.50,0.00,13.50
2025-12-04,Cash,312 Medallion Management Corp,2,30.00,0.00,30.00
2025-12-04,Cash,3556 - 36214 RC Andrews Cab,2,17.00,0.00,17.00
2025-12-04,Cash,5 Star Taxi,171,4325.95,0.00,3814.50
2025-12-04,Cash,5167 - 71969 5167 Taxi Inc,4,117.75,0.00,109.75
2025-12-04,Cash,Blue Ribbon Taxi Association,197,3466.50,0.00,3011.25
2025-12-04,Cash,Chicago City Taxi Association,88,827.75,0.00,777.25
2025-12-04,Cash,Chicago Independents,256,4986.00,0.00,4546.05
2025-12-04,Cash,Chicago Taxicab,6,92.00,0.00,81.00
2025-12-04,Cash,Choice Taxi Association Inc,105,1801.60,0.00,1675.35
2025-12-04,Cash,City Service,362,5490.96,0.00,4952.06
2025-12-04,Cash,Flash Cab,1371,37936.35,0.00,37293.80
2025-12-04,Cash,Globe Taxi,159,2513.70,0.00,2304.00
2025-12-04,Cash,Koam Taxi Association,9,69.25,0.00,67.25
2025-12-04,Cash,Medallion Leasin,95,1525.00,0.00,1373.50
2025-12-04,Cash,Patriot Taxi Dba Peace Taxi Associat,6,43.00,0.00,42.00
2025-12-04,Cash,Setare Inc,4,45.25,0.00,45.25
2025-12-04,Cash,Star North Taxi Management Llc,1,43.75,0.00,39.75
2025-12-04,Cash,Sun Taxi,452,7013.97,0.00,6446.47
2025-12-04,Cash,Tac - American United Dispatch,23,3924.50,0.00,3922.50
2025-12-04,Cash,Tac - Blue Diamond Dispatch,1,1.00,0.00,1.00
2025-12-04,Cash,Tac - Checker Cab Dispatch,17,184.25,0.00,184.25
2025-12-04,Cash,Tac - Yellow Cab Association,288,7352.10,0.00,7342.10
2025-12-04,Cash,Tac - Yellow Non Color,8,84.50,0.00,84.50
2025-12-04,Cash,Taxicab Insurance Agency  LLC,124,2298.95,0.00,2216.95
2025-12-04,Cash,Taxicab Insurance Agency Llc,523,8449.16,0.00,7684.01
2025-12-04,Cash,Top Cab,13,401.50,0.00,380.50
2025-12-04,Cash,Transit Administrative Center Inc,937,14803.91,0.00,13554.01
2025-12-04,Cash,U Taxicab,6,49.50,0.00,48.50
2025-12-04,Cash,Wolley Taxi,32,642.50,0.00,601.50
2025-12-04,Credit Card,2733 - 74600 Benny Jona,1,67.25,12.00,3.25
2025-12-04,Credit Card,312 Medallion Management Corp,21,721.15,130.65,515.00
2025-12-04,Credit Card,4053 - 40193 Adwar H. Nikola,2,106.90,17.90,79.00
2025-12-04,Credit Card,5 Star Taxi,391,18699.82,2824.43,13784.61
2025-12-04,Credit Card,Blue Ribbon Taxi Association,237,6645.89,1113.69,4684.00
2025-12-04,Credit Card,Chicago City Taxi Association,106,2993.03,584.78,2099.00
2025-12-04,Credit Card,Chicago Independents,591,26899.58,4298.43,19819.05
2025-12-04,Credit Card,Chicago Taxicab,21,795.28,113.78,573.50
2025-12-04,Credit Card,Choice Taxi Association Inc,245,11097.18,1610.69,8519.74
2025-12-04,Credit Card,City Service,803,32759.83,5307.15,23307.56
2025-12-04,Credit Card,Flash Cab,814,27257.57,4350.86,20242.06
2025-12-04,Credit Card,Globe Taxi,301,12064.91,1792.29,8784.85
2025-12-04,Credit Card,Koam Taxi Association,13,308.35,48.10,244.75
2025-12-04,Credit Card,Medallion Leasin,158,5754.86,881.46,3858.75
2025-12-04,Credit Card,Patriot Taxi Dba Peace Taxi Associat,2,102.11,15.36,80.75
2025-12-04,Credit Card,Setare Inc,9,369.65,30.15,236.50
2025-12-04,Credit Card,Star North Taxi Management Llc,5,270.43,31.43,191.50
2025-12-04,Credit Card,Sun Taxi,950,39065.53,6499.69,27507.12
2025-12-04,Credit Card,Tac - American United Dispatch,3,97.40,14.65,58.25
2025-12-04,Credit Card,Tac - Yellow Cab Association,2,23.50,5.00,17.50
2025-12-04,Credit Card,Taxicab Insurance Agency  LLC,165,4656.04,865.69,3381.35
2025-12-04,Credit Card,Taxicab Insurance Agency Llc,1194,50682.49,7962.62,36789.58
2025-12-04,Credit Card,Top Cab,12,465.79,85.04,317.75
2025-12-04,Credit Card,Transit Administrative Center Inc,1749,56931.39,8443.81,43793.33
2025-12-04,Credit Card,U Taxicab,12,390.46,54.71,264.75
2025-12-04,Credit Card,Wolley Taxi,43,1367.72,243.50,865.75
2025-12-04,Dispute,Chicago Independents,1,60.89,0.00,60.89
2025-12-04,Dispute,Choice Taxi Association Inc,1,1.00,0.00,1.00
2025-12-04,Dispute,Transit Administrative Center Inc,11,184.50,0.00,178.50
