pickup_community_area,dropoff_community_area,total_trips,active_taxis,total_revenue,total_fare,total_trip_miles
8,8,95541,2504,976687.80,801175.48,80461.9
32,8,52978,2347,547091.59,460521.47,72382.4
8,32,52250,2342,550577.50,469279.17,71284.5
32,32,40307,2307,454892.59,368767.47,30042.1
76,-1,37398,2037,2235903.80,1359395.54,504502.0
28,8,34496,2122,413305.18,353831.04,63711.1
8,28,32017,2217,398965.27,347822.22,64663.6
28,32,30565,1992,293783.34,244121.55,35433.5
76,8,26542,1980,1547648.97,1203156.67,453962.0
32,28,25875,2150,268115.90,226422.68,35558.7
28,28,21233,2144,266612.40,223250.37,19553.8
-1,-1,17847,1621,632198.76,532907.86,84691.5
8,7,14392,2011,177440.88,154253.54,33714.0
76,32,14203,1794,860017.58,668318.08,251094.0
76,76,11560,1753,343624.46,255939.68,29181.1
8,6,10545,1922,174328.08,155320.38,41953.4
76,6,9522,1671,484067.15,366886.66,135350.0
7,8,8950,1727,109254.41,96675.98,19895.4
76,7,8843,1646,463881.14,352705.36,133160.0
6,8,8431,1622,137787.31,125260.19,32496.7
6,6,8074,1579,96766.57,80726.03,7453.56
76,28,7547,1620,431255.20,335454.06,129419.0
32,33,7344,1694,85750.57,74109.10,13326.7
8,24,7218,1759,98988.34,88040.29,18687.4
8,76,6139,1575,341287.51,291024.15,101678.0
33,32,6013,1563,72733.15,63834.76,10224.0
76,24,5960,1536,312608.99,238389.50,91790.2
8,33,5721,1693,82990.14,73513.07,16167.6
32,7,5208,1511,87220.06,75616.61,19147.1
33,8,4916,1541,76667.76,68389.14,12873.0
6,32,4207,1166,94137.73,85776.60,23282.1
32,6,4175,1413,90189.33,78784.27,23449.2
24,8,4165,1271,56945.21,51733.97,10551.6
7,7,4113,1330,61579.81,49902.27,3216.03
32,76,3853,1260,225240.49,189880.28,64572.0
76,22,3741,1324,175272.02,131598.92,49945.7
28,33,3625,1312,50163.29,44367.31,9788.98
33,33,3506,1252,63007.43,52943.37,2099.61
32,24,3475,1277,52297.10,45239.84,10445.0
56,8,3457,716,162625.71,124406.51,42579.4
3,3,3344,996,33524.05,28786.22,2489.26
76,5,3336,1263,154915.62,115090.50,42513.3
7,32,3235,1212,53168.75,47780.65,11401.0
6,7,3209,1107,33547.63,30032.91,5566.89
28,24,3169,1217,38578.50,33768.27,6917.74
3,8,3058,1016,61077.14,57281.18,16953.9
33,28,2906,1201,43129.46,39210.87,7523.98
76,3,2853,1198,141116.64,107221.02,38945.4
7,6,2793,1056,31038.58,27511.36,4825.0
8,3,2781,1245,54690.88,49960.29,15786.7
28,7,2728,1174,48215.38,42758.89,10734.6
8,-1,2586,1062,96973.63,84359.22,29139.5
28,6,2546,1142,62036.90,55818.80,15597.7
76,77,2544,1131,128333.03,97929.73,35789.2
3,6,2445,890,25116.16,22816.78,4610.71
76,33,2394,1127,154827.65,121987.06,47563.0
6,3,2308,907,23730.66,21510.57,4402.13
76,4,2273,1095,102563.66,76635.50,27773.3
56,32,2264,585,99408.73,75318.91,25220.4
6,28,2256,969,56578.03,52672.28,14088.6
56,-1,2145,526,138419.21,90736.53,32752.3
77,77,2111,764,25748.03,22084.38,1936.81
28,-1,1990,771,81969.26,73964.15,26013.3
8,77,1973,1024,45163.79,41284.80,14027.0
7,28,1910,965,35162.93,32476.08,7722.69
56,56,1894,515,51348.70,39535.27,2105.11
24,24,1835,894,36955.76,28578.13,1273.8
8,22,1812,1024,36913.21,33145.55,7962.25
3,32,1739,697,44195.06,41514.77,12096.5
32,-1,1723,798,71189.63,62718.63,20489.2
24,28,1694,813,21092.49,18937.50,3511.83
24,32,1647,837,25240.29,22921.47,4901.46
6,76,1646,714,76510.94,65010.28,23328.7
77,8,1603,683,38035.31,35739.29,11159.8
76,2,1512,868,66091.03,52221.52,18923.5
76,16,1508,845,60845.23,45426.65,16366.0
8,56,1482,783,64185.78,54902.45,18723.2
76,10,1370,830,36043.03,25569.60,8337.63
59,59,1308,637,6144.62,5378.50,345.49
2,2,1255,455,12983.09,11470.86,972.04
32,3,1245,759,33309.22,30120.54,8918.27
41,41,1236,449,24252.60,21265.00,802.87
8,41,1194,714,32721.79,29631.80,9925.57
3,77,1138,570,11010.22,10211.56,1955.85
41,8,1130,447,38208.59,35467.55,9000.08
76,1,1112,736,57053.12,44044.65,15988.3
32,56,1086,627,45118.02,38301.96,12200.3
-1,8,1068,365,47674.97,42750.58,8119.14
56,28,1058,354,45487.34,34805.01,10919.5
3,28,1054,570,32987.13,31665.80,9111.32
77,3,1052,538,11129.37,10392.07,1802.75
32,41,1049,675,28214.57,25509.69,7656.75
76,41,1044,705,81779.35,65550.84,26838.9
76,21,1031,671,42944.54,33084.60,12188.0
7,76,1030,526,50059.88,42665.76,15669.3
28,76,993,653,53145.12,45306.99,16532.7
6,24,979,621,21534.69,20125.15,4239.32
8,5,971,677,21064.18,18600.29,5474.86
33,76,939,589,62822.56,52205.02,18318.1
28,3,938,581,26069.81,24107.66,8152.89
56,33,904,346,34025.67,25649.10,8706.97
32,77,902,578,25473.50,23017.71,7906.5
41,32,900,402,22974.81,20599.34,6352.28
6,77,888,531,14254.66,12966.64,3222.41
35,35,884,372,11815.15,11352.36,664.83
7,24,875,574,13074.83,11934.48,2507.83
77,6,872,485,12654.55,11715.89,3154.22
-1,76,868,371,31501.35,25890.33,7193.5
77,32,824,451,24182.76,22743.52,7073.21
3,7,817,514,12634.93,11874.23,3071.51
76,14,809,595,32716.13,24160.35,8653.41
32,22,796,570,17016.27,14835.04,4134.13
76,15,795,568,28242.24,20889.41,7389.59
16,16,780,379,8721.32,6970.94,240.18
22,8,779,561,14774.40,13248.88,3336.92
32,35,777,532,12007.30,11179.65,2861.59
76,12,755,549,27356.50,20039.95,7243.26
56,6,729,298,41199.05,31769.69,11854.3
8,1,723,456,19791.18,18685.57,6355.68
24,7,723,511,10687.88,9651.54,2063.46
56,7,721,319,37360.30,28879.73,10536.0
8,2,714,360,20624.56,19793.16,6810.48
28,41,713,435,28729.11,27118.81,6007.14
35,32,713,413,10951.79,10539.03,2524.36
8,35,711,505,13240.34,12769.91,3760.82
32,34,710,462,8974.98,8253.35,1739.19
8,4,709,512,20743.89,18761.60,5343.86
1,1,704,363,8687.00,7182.58,547.36
6,22,696,475,11555.44,10370.65,2370.85
24,6,687,493,12761.29,11732.97,2908.88
28,31,679,447,9179.23,8529.58,1607.17
4,4,671,363,10279.95,8622.15,377.9
35,8,668,401,13004.80,12573.52,3381.36
22,22,662,416,13652.32,10218.29,344.68
32,31,657,459,9929.06,9059.22,2179.38
28,22,656,462,12552.79,11325.80,3000.48
-1,28,636,256,23458.84,22247.41,7082.99
2,-1,629,273,16611.80,16173.72,4829.21
38,38,628,256,9829.57,9419.84,633.21
-1,32,620,285,26221.55,23945.00,6791.15
28,43,618,270,27248.51,27124.11,6509.12
2,8,610,222,17813.16,17431.79,5982.28
8,43,608,305,18918.62,18761.34,6651.34
28,77,604,363,18615.25,17666.22,6201.93
8,34,601,451,10673.96,9973.53,2435.39
41,28,592,286,15890.58,14995.75,4733.01
76,13,589,449,23242.69,18118.81,6641.94
1,-1,584,265,14452.13,13990.24,4556.01
28,35,584,416,13163.61,12847.06,2578.39
3,76,577,335,25583.78,21830.35,7848.27
35,28,573,361,9799.27,9552.11,2546.98
33,35,572,360,6513.25,6231.45,1035.04
6,5,554,394,6916.91,6043.60,1199.26
56,41,554,270,25786.06,19655.51,7118.21
32,43,546,321,18082.93,17819.43,5281.19
3,4,540,329,7582.93,7097.71,1156.74
3,-1,534,333,18227.51,17411.17,5942.22
76,11,534,413,16592.66,12167.95,4203.01
7,3,526,393,8299.55,7629.50,1980.18
43,43,517,251,9123.65,8636.41,445.42
28,44,513,201,16070.15,15998.81,5789.95
8,31,503,395,10070.44,9352.43,2467.66
43,8,503,217,18040.33,17955.16,5420.06
8,39,500,352,14338.04,13786.14,3671.17
39,39,497,220,10817.57,10331.58,310.13
6,4,496,359,7267.11,6589.30,1654.58
56,24,495,227,22066.59,16700.60,5825.27
77,28,493,267,15332.18,14880.52,5131.89
8,69,490,245,15591.19,15464.23,5548.94
77,-1,490,288,13478.69,12697.03,4170.29
1,8,481,280,16060.71,15728.33,4327.54
7,22,467,362,6680.86,6057.08,1213.96
8,44,464,246,15666.34,15584.92,5707.1
44,28,460,172,14661.64,14645.24,5257.74
6,-1,459,332,17660.28,16068.71,5770.05
8,38,459,315,10786.62,10513.68,3460.77
33,56,459,327,17231.60,14567.78,4325.21
77,76,458,284,20296.25,17354.73,6284.64
33,-1,444,266,18868.20,17803.22,6133.75
8,21,436,360,10160.52,9107.69,2638.06
77,1,435,285,4529.33,4276.33,868.41
44,8,432,180,14195.93,14145.79,5274.22
24,76,431,275,19941.00,17292.39,6153.87
43,-1,430,158,21332.56,21301.24,7522.81
43,28,427,200,14348.32,14291.10,4777.29
32,1,426,257,17256.92,16550.65,4510.52
28,34,416,324,5795.57,5321.43,1210.63
31,28,416,290,4859.14,4602.37,923.16
34,32,416,290,5266.51,4997.54,1012.13
32,5,411,317,10575.07,9164.12,2808.39
8,16,410,337,13084.87,11941.26,3050.41
39,32,410,230,14664.50,14325.05,2310.06
1,32,409,173,12831.87,12472.09,4358.85
28,56,408,296,17509.01,15791.95,4154.02
32,44,403,176,12497.93,12451.75,4668.42
22,6,401,314,6418.50,5624.79,1331.87
77,4,401,251,4826.37,4409.42,1021.18
76,17,399,328,12758.10,9290.50,3185.66
77,2,398,249,4645.05,4413.67,969.64
32,38,395,298,7962.17,7661.36,2413.5
10,10,394,200,5541.63,4389.33,137.2
35,33,391,278,3669.53,3543.67,689.46
32,2,390,214,12474.85,12151.85,4225.08
5,5,389,253,10226.42,8324.35,111.58
32,39,387,301,8061.21,7604.76,2393.9
38,8,385,233,9099.50,8946.62,2818.53
41,39,380,214,5960.14,5773.54,480.23
2,32,379,121,12009.45,11800.20,4210.54
28,38,377,260,8015.20,7868.81,2523.53
3,1,375,250,5556.05,5320.35,1373.41
39,8,372,231,8872.82,8601.41,2569.42
44,-1,372,162,16471.27,16397.63,5900.36
4,8,366,253,9151.91,8434.48,2701.61
31,32,366,282,5505.50,5106.92,1168.8
4,3,363,245,3983.62,3748.76,828.92
5,8,351,269,7805.40,7110.97,1971.9
39,41,351,188,4588.16,4383.73,513.96
69,-1,348,152,17311.16,17226.93,5002.97
2,77,343,202,3890.13,3778.03,815.15
8,10,339,162,11956.79,11547.72,4104.24
35,38,334,196,4630.91,4575.77,562.25
1,77,333,236,3481.23,3284.71,600.25
76,9,333,290,9922.75,6832.25,2315.82
77,7,333,223,8186.24,7764.46,1760.29
15,15,331,166,3653.20,2924.26,191.72
6,16,329,259,5797.04,5264.38,1288.96
8,42,329,229,9760.59,9521.50,3246.76
3,2,326,209,5318.27,4972.89,1282.64
43,32,326,186,14069.09,13990.32,3099.04
31,8,325,261,6298.50,5965.81,1473.74
32,4,325,276,9787.67,8569.60,2919.52
28,1,323,198,18924.48,18322.54,3835.62
38,28,323,191,7029.83,6943.43,2081.28
28,39,320,218,9250.92,8961.25,2335.72
1,2,318,189,3056.28,2882.35,594.25
34,8,317,260,5514.53,5234.28,1206.77
1,3,315,200,4673.88,4422.65,1118.24
6,1,315,230,5984.26,5713.82,1720.64
7,-1,313,215,12768.92,11411.38,3965.95
39,28,312,175,9962.07,9782.64,2222.25
22,32,311,253,6693.35,6025.82,1583.49
33,34,311,245,3658.95,3188.83,384.31
69,8,311,133,9512.97,9452.02,3458.05
76,39,311,272,23427.36,18717.86,7642.75
28,69,308,190,13672.96,13612.22,3125.26
-1,33,307,134,8273.12,7795.74,2037.97
4,77,307,205,3542.02,3256.95,773.03
22,7,306,250,4193.08,3662.75,736.58
33,41,306,238,6342.02,6000.31,1866.22
24,22,305,251,3926.94,3487.72,715.82
38,32,301,173,6688.02,6584.58,1636.55
38,35,300,150,2975.13,2935.75,455.34
3,24,296,245,7028.09,6687.78,1784.79
44,44,293,164,3937.38,3610.73,226.75
21,21,292,216,9169.80,7717.22,124.26
6,21,290,222,4729.33,4412.13,1052.03
8,25,287,218,7948.29,7716.53,2567.18
22,76,287,182,11631.14,10214.21,3696.21
5,76,286,185,11317.88,9605.72,3472.99
28,49,285,149,10224.54,10160.14,3647.6
5,6,284,214,3433.10,2986.06,579.45
2,1,282,174,2556.25,2443.69,513.78
33,38,281,202,5417.76,5349.97,1040.78
14,14,279,165,4873.96,3569.14,190.17
8,60,278,221,6039.08,5598.71,1623.86
22,28,278,217,5190.66,4757.24,1248.42
13,13,276,167,2811.94,2274.53,146.19
32,69,276,124,7967.16,7901.11,2803.1
41,43,275,164,3954.58,3872.46,906.12
44,32,275,116,8525.96,8511.66,3131.95
4,6,274,200,3856.64,3485.58,846.63
6,2,274,173,5716.82,5463.41,1564.87
28,5,274,233,6260.89,5471.49,1580.89
76,31,272,242,16821.11,13492.28,5342.99
32,16,267,241,7328.64,6525.30,2127.6
49,-1,267,122,11129.72,11107.78,4083.15
56,76,267,141,23624.52,20117.25,8027.26
2,76,266,143,10080.42,9251.54,3327.9
28,60,264,218,4371.08,3964.08,1054.29
4,2,263,142,2648.60,2482.09,539.94
76,56,259,231,23089.86,18673.49,7538.28
33,24,258,220,5598.31,5063.92,1238.4
8,23,256,223,5666.36,5351.30,1423.07
33,6,255,210,6667.34,5973.55,1817.59
38,41,255,147,4372.93,4296.61,615.16
69,28,253,139,7559.92,7538.34,2591.74
2,3,252,145,4224.15,4102.63,1074.79
24,-1,251,167,10828.10,9890.12,3384.95
56,39,251,161,10787.32,8367.26,3060.21
-1,6,250,155,8849.77,7673.88,2270.74
16,-1,249,165,8481.11,7835.63,2638.3
41,38,249,153,4776.84,4665.56,574.5
33,7,248,218,5918.38,5332.84,1332.9
41,33,248,177,5067.06,4764.57,1413.25
28,25,245,185,7337.49,7229.31,1550.24
34,28,245,185,5296.98,5125.32,629.53
69,69,243,146,3642.28,3529.71,164.4
7,77,242,195,4897.03,4507.06,1322.71
22,24,241,197,4838.93,4327.67,484.66
4,76,239,181,9438.39,7892.60,2831.98
8,68,238,141,7128.59,7066.42,2523.95
10,-1,238,113,8692.06,7486.46,2514.47
28,42,238,180,6720.30,6551.21,2255.42
41,35,238,144,5796.67,5735.05,879.92
3,5,235,184,2977.95,2676.49,591.31
6,33,233,198,5776.38,5249.86,1622.94
32,60,232,203,4137.48,3835.29,1042.22
77,33,232,123,6939.36,6891.51,2458.98
1,28,231,132,8309.92,8131.24,2811.97
42,42,231,134,4438.47,4070.70,185.64
76,23,231,207,11220.67,8625.46,3272.56
8,14,230,199,6608.95,5903.59,1942.9
77,35,230,82,7292.06,7264.65,2658.28
76,19,227,204,8798.57,6914.50,2444.87
7,5,224,195,3500.02,3126.27,657.4
76,42,224,197,18118.62,15188.81,5963.89
33,43,222,144,5341.85,5298.40,1818.41
42,8,222,148,9063.54,8980.61,2223.95
41,-1,220,130,9241.66,8854.00,3019.13
10,8,219,105,8267.28,7712.18,2675.49
38,-1,214,125,7949.07,7939.69,2793.25
43,41,213,141,3036.13,2991.14,653.13
1,76,211,139,10131.84,8423.74,2994.16
35,41,211,147,7310.91,7259.50,833.66
38,33,210,144,3012.46,2972.66,737.92
8,15,209,152,6158.57,5652.10,1878.26
32,46,209,101,6236.40,6190.03,2233.15
1,6,208,137,4130.57,3938.07,1121.26
-1,2,207,87,3294.92,3087.58,739.42
-1,7,206,133,7728.89,6655.30,2148.03
28,2,206,139,7092.35,6950.59,2394.47
-1,43,205,98,7216.46,7197.21,2146.59
49,28,205,113,7629.37,7613.37,2674.09
-1,35,204,83,6243.41,6222.46,1012.32
7,33,204,176,4386.15,3970.44,1128.87
-1,38,203,87,4685.29,4625.08,1065.77
2,6,201,122,4011.03,3924.18,1168.08
3,33,200,139,5650.73,5510.71,1804.09
3,35,200,91,6064.54,6040.81,2148.45
10,76,199,117,4945.49,4248.59,892.61
16,76,199,119,6893.87,6292.36,2063.39
42,-1,198,110,7999.13,7929.20,3756.71
-1,77,197,125,5905.55,5506.83,1613.06
32,21,197,184,5007.11,4447.33,1334.34
-1,3,195,120,6767.52,6315.61,2099.76
35,-1,195,114,6997.96,6924.84,2465.09
38,39,194,121,1982.58,1917.32,318.58
39,38,194,120,2218.85,2122.80,367.57
56,22,194,134,9500.56,7246.22,2650.88
8,27,193,170,4140.49,4003.08,1120.41
76,60,193,180,12591.16,10203.21,4059.85
28,29,192,164,3028.56,2885.44,747.94
76,25,192,173,8500.85,6776.49,2518.87
24,3,191,173,4445.18,4172.33,1167.54
